##blend;w1;w2;w3;source
##blend;w1;w2;w3;source
##!=Name *=wrong;;;;
motel;motor;hotel;0;Cannon87
brunch;breakfast;lunch;0;Cannon87
ad-hocracy;ad_hoc;aristocracy;0;Cannon87
aquatel;aqua;hotel;0;Cannon87
stagflation;stagnation;inflation;0;Cannon87
sexploitation;sex;exploitation;0;Cannon87
sexploiter;sex;exploiter;0;Cannon87
medicaid;medical;aid;0;Cannon87
medicare;medical;care;0;Cannon87
!Dixican;dix;republican;0;Cannon87
!Butskell;butler;Gaitskell;0;Cannon87
boatel;boat;hotel;0;Cannon87
biathlete;biathlon;athlete;0;Cannon87
barococo;baroque;rococo;0;Cannon87
autopia;auto;utopia;0;Cannon87
alphametic;alphabet;arithmetic;0;Cannon87
geep;goat;sheep;0;Cannon87
shoat;sheep;goat;0;Cannon87
ecdysone;ecdysis;hormone;0;Cannon87
ballute;balloon;parachute;0;Cannon87
musicassette;music;cassette;0;Cannon87
chunnel;channel;tunnel;0;Cannon87
palimony;pal;alimony;0;Cannon87
swingle;swing;single;0;Cannon87
jargonaut;jargon;astronaut;0;Cannon87
frenglish;french;english;0;Cannon87
exercycle;exercise;bicycle;0;Cannon87
sensurround;sense;surround;0;Cannon87
californicate;california;fornicate;0;Cannon87
extensior;extensor;exerciser;0;Cannon87
diesohol;diesel;alcohol;0;Cannon87
yakow;yak;cow;0;Cannon87
compander;compressor;expander;0;Cannon87
asymptopia;asymptote;utopia;0;Cannon87
happenstantial;happen;circumstancial;0;Cannon87
beefalo;beef;buffalo;0;Cannon87
scrapnel;scrap;shrapnel;0;Cannon87
dielectrophoresis;dielectric;electrophoresis;0;Cannon87
psytocracy;psychological;autocracy;0;Cannon87
hesiflation;hesitation;inflation;0;Cannon87
snurfing;snow;surfing;0;Cannon87
apodization;aperture;periodization;0;Cannon87
spork;spoon;fork;0;Cannon87
!Labanotation;Laban;notation;0;Cannon87
angiotensin;angiotonin;hypertension;0;Cannon87
osmol;osmotic;mol;0;Cannon87
magicube;magic;cube;0;Cannon87
winterim;winter;interim;0;Cannon87
ausform;austenitic;deform;0;Cannon87
cyclandelate;cyclohexyl;mandelate;0;Cannon87
melatonin;melanocyte;serotonin;0;Cannon87
appeteaser;appetizer;teaser;0;o.A
baconnaise;bacon;mayonnaise;0;o.A.
chillax;chill;relax;0;o.A.
!Nobama;no;Obama;0;o.A.
broccoflower;broccoli;cauliflower;0;o.A.
Absatively;absolutely;positively;0;english4students11
absotively;absolutely;positively;0;BatEl06
Accenture;accent;future;0;ewPortmanteaus11
acetal;acetic;alcohol;0;Minkova09
acknowledgmention;acknowledgement;mention;0;thinkzone11
acquaintroduce;acquaint;introduce;0;thinkzone11
Adflation;advertising;inflation;0;english4students11
admirespect;admire;respect;0;thinkzone11
adolescentertainer;adolescent;entertainer;0;thinkzone11
adornament;adorn;ornament;0;thinkzone11
adornamentation;adorn;ornamentation;0;thinkzone11
advertainment;advertising;entertainment;0;ewPortmanteaus11
advertainment;advertisement;entertainment;0;BatEl06
advertorial;advertising;editorial;0;ewPortmanteaus11
aeromotional;aerodynamics;emotional;0;Schott11
affluenza;affluence;influenza;0;ewPortmanteaus11
aflockalypse;apocalypse;flock;0;Schott11
afpak;Afghanistan;pakistan;0;Schott11
agitprop;agitation;propaganda;0;Gries04a
agritainment;agriculture;entertainment;0;Schott11
alcopop;alcohol;popular;0;Biermeier08
alcopop;alcohol;popular;0;Wikt11
alkargen;alkarsin;oxygen;0;Minkova09
alonely;alone;lonely;0;thinkzone11
alphameric;alphabetic;numeric;0;BatEl06
alphameric;alphabetic;numeric;0;BatEl06
alphanumeric;alphabetic;numeric;0;ewPortmanteaus11
!Alstom;Alsace;Thompson-Houston;0;ewPortmanteaus11
ambisextrous;ambidextrous;sex;0;Gries04a
ambushwhack;ambush;bushwhack;0;thinkzone11
americation;america;vacation;0;Schott11
amping;amphetamine;smoking;0;Gries04a
Amtrack;American;track;0;Gries04a
amusementertainment;amusement;entertainment;0;thinkzone11
anacronym;anachronism;acronym;0;ewPortmanteaus11
angleaning;angle;leaning;0;thinkzone11
animale;animal;male;0;thinkzone11
antediluviantiquated;antediluvian;antiquated;0;thinkzone11
anticipointment;anticipation;disappointment;0;May10
applaudits;applaud;plaudits;0;thinkzone11
applemon;apple;lemon;0;thinkzone11
apronym;appropriate;acronym;0;ewPortmanteaus11
aquaponics;aquaculture;hydroponics;0;Schott11
arcticy;arctic;icy;0;thinkzone11
arfe;art;café;0;ewPortmanteaus11
argufication;argument;signification;0;Kubozono00
arrogantocracy;arrogant;aristocracy;0;Schott11
artistudio;artist;studio;0;thinkzone11
ASCIIbetical;ASCII;alphabetical;0;ewPortmanteaus11
atomicroscopic;atomic;microscopic;0;thinkzone11
authenticitude;authenticity;attitude;0;Schott11
autocide;automobile;suicide;0;Gries04a
avatards;avatar;die-hard;0;Schott11
avatarficionado;avatar;aficionado;0;Schott11
avionics;aviation;electronics;0;ewPortmanteaus11
babblecture;babble;lecture;0;thinkzone11
babymoon;baby;honeymoon;0;Schott11
backronym;back;acronym;0;ewPortmanteaus11
backsiderriere;backside;derrière;0;thinkzone11
badvantage;bad;advantage;0;thinkzone11
baffound;baffle;confound;0;BatEl06
bagelhead;bagel;head;0;Schott11
balatitude;Bali;attitude;0;ewPortmanteaus11
baldenfreude;bald;Schadenfreude;0;Schott11
ballute;balloon;parachute;0;Biermeier08
ballyhoopla;ballyhoo;hoopla;0;thinkzone11
bangover;bang;hangover;0;Schott11
bankrupture;bankrupt;rupture;0;thinkzone11
barbariangry;barbarian;angry;0;thinkzone11
Beautility;beauty;utility;0;english4students11
beefalo;beef;beefalo;0;BatEl06
beefalo;beef;buffalo;0;wisegeek11
beefalo;beef;buffalo;0;ewPortmanteaus11
beefalo;beef;buffalo;0;BatEl06
beginaugurate;begin;inaugurate;0;thinkzone11
beginitiate;begin;initiate;0;thinkzone11
behindquarters;behind;hindquarters;0;thinkzone11
belowgrounderground;belowground;underground;0;thinkzone11
bespokengaged;bespoken;engaged;0;thinkzone11
Beurgeois;beur;bourgeois;0;ewPortmanteaus11
bewitcharm;bewitch;charm;0;thinkzone11
bionic;biology;electronic;0;BatEl06
biopic;biographical;motion_picture;0;ewPortmanteaus11
Bit;binary;digit;0;english4students11
bit;binary;digit;0;ewPortmanteaus11
Bitini;bitsy;bikini;0;english4students11
blaccent;black;accent;0;ewPortmanteaus11
Black_To_My_Roots;black;back_to_my_roots;0;ewPortmanteaus11
blank;beep;bleep;0;BatEl06
blastrafe;blast;strafe;0;thinkzone11
blastrike;blast;strike;0;thinkzone11
blaxploitation;black;exploitation;0;ewPortmanteaus11
bleen;blue;green;0;ewPortmanteaus11
bleg;blog;beg;0;wisegeek11
blog;web;log;0;Minkova09
Blog;web;log;0;english4students11
blog;web;log;0;wisegeek11
blogcast;blog;broadcast;0;wisegeek11
blogosphere;blog;biosphere;0;wisegeek11
blook;blog;book;0;Schott11
blow;spurt;blurt;0;BatEl06
bluecifer;blue;lucifer;0;Schott11
blurbanize;blur;urbanize;0;thinkzone11
blurt;blow;spurt;0;BatEl06
boatel;boat;hotel;0;Plag03
Bodacious;bold;audacious;0;ewPortmanteaus11
boldacious;bold;audacious;0;Gries04a
Bollywood;Bombay;Hollywood;0;wisegeek11
Bollywood;Bombay;Hollywood;0;ewPortmanteaus11
bombile;bomb;mobile;0;Schott11
Bonk;bang;conk;0;english4students11
boomerangle;boomerang;angle;0;thinkzone11
boost;boom;hoist;0;Plag03
Bootylicious;booty;delicious;0;ewPortmanteaus11
boroughwashing;borough;washing;0;Schott11
bossnapping;boss;kidnapping;0;Schott11
botax;botox;tax;0;Schott11
boxercise;boxing;exercise;0;ewPortmanteaus11
braintelligence;brain;intelligence;0;thinkzone11
brandishow;brandish;show;0;thinkzone11
!Brangelina;Brad_Pitt;Angelina_Jolie;0;wisegeek11
!Brangelina;Brad_Pitt;Angelina_Jolie;0;ewPortmanteaus11
Breathalyzer;breath;analyzer;0;english4students11
breathalyzer;breath;analyzer;0;wisegeek11
breathalyzer;breath;analyzer;0;Plag03
breezephyr;breeze;zephyr;0;thinkzone11
brinch;british;grinch;0;Schott11
britcom;British;comedy;0;ewPortmanteaus11
bromance;bro;romance;0;ewPortmanteaus11
brouhahangover;brouhaha;hangover;0;thinkzone11
brunch;breakfast;lunch;0;Wikipedia11
Brunch;breakfast;lunch;0;english4students11
brunch;breakfast;lunch;0;wisegeek11
brushrub;brush;shrub;0;thinkzone11
buckettle;bucket;kettle;0;thinkzone11
buddymoon;buddy;honeymoon;0;Schott11
buffling;business;waffling;0;Schott11
bugabooger;bugaboo;booger;0;thinkzone11
bugaboogeyman;bugaboo;boogeyman;0;thinkzone11
bump;conk;bonk;0;BatEl06
bumpaholic;bump;alcoholic;0;Schott11
bureauthority;bureau;authority;0;thinkzone11
burnishine;burnish;shine;0;thinkzone11
bushrub;bush;shrub;0;thinkzone11
bustop;bus;stop;0;thinkzone11
cafetorium;cafeteria;auditorium;0;wisegeek11
Californication;California;fornication;0;Wikipedia11
Camcorder;camera;recorder;0;english4students11
camcorder;camera;recorder;0;wisegeek11
camcorder;camera;recorder;0;ewPortmanteaus11
camcorder;camera;recorder;0;BatEl06
cameltarian;camel;vegetarian;0;Schott11
cameradar;camera;radar;0;thinkzone11
cannabusiness;cannabis;business;0;Schott11
Carborundum;carbon;corundum.;0;ewPortmanteaus11
carefreewheeling;carefree;free-wheeling;0;thinkzone11
carjack;car;hijack;0;ewPortmanteaus11
carnibblelous;carnivorous;nibble;0;Gries04a
carpuccino;car;cappuccino;0;Schott11
catalysta;catalyst;fashionista;0;Schott11
caterpillarva;caterpillar;larva;0;thinkzone11
causium;cause_marketing;freemium;0;Schott11
!Cayro;Carlos;Roberto;0;ewPortmanteaus11
chaiwan;china;taiwan;0;Schott11
chamberpotty;chamberpot;potty;0;thinkzone11
chavtastic;chav;fantastic;0;ewPortmanteaus11
chexting;cheating;texting;0;Schott11
Chicagorilla;Chicago;gorilla;0;BatEl06
chicklit;chicken;literature;0;Schott11
chitchatter;chitchat;chatter;0;thinkzone11
chloral;chlorine;alcohol;0;Minkova09
chooselect;choose;select;0;thinkzone11
Chortle;chuckle;snort;0;english4students11
chortle;chuckle;snort;0;ewPortmanteaus11
Chunnel;channel;tunnel;0;english4students11
Chunnel;Channel;Tunnel;0;wisegeek11
chunnel;channel;tunnel;0;Plag03
churchapel;church;chapel;0;thinkzone11
churnalism;churn;journalism;0;Schott11
cinemagpie;cinema;magpie;0;BatEl06
cineplex;cinema;complex;0;ewPortmanteaus11
citrange;citrus;orange;0;BatEl06
civilogue;civilized;dialogue;0;Schott11
clamato;clam;tomato;0;BatEl06
Clamato;clam;tomato;0;wisegeek11
clantastical;clandestine;fantastical;0;Gries04a
clapplaud;clap;applaud;0;thinkzone11
clapplause;clap;applause;0;thinkzone11
clashowdown;clash;showdown;0;thinkzone11
classociation;class;association;0;thinkzone11
climigration;climate;migration;0;Schott11
clopen;closed;open;0;ewPortmanteaus11
cocacolonization;Coca-Cola;colonization;0;ewPortmanteaus11
cocoanista;cocoa;fashionista;0;Schott11
codec;coder;decoder;0;ewPortmanteaus11
coffice;coffee;office;0;Schott11
combattle;combat;battle;0;thinkzone11
cometeor;comet;meteor;0;thinkzone11
comint;communications;intelligence;0;Gries04a
commention;comment;mention;0;thinkzone11
compander;compressor;expander;0;Plag03
Compaq;compatibility;quality;0;ewPortmanteaus11
compfusion;computer;confusion;0;Minkova09
complify;complicate;simplify;0;Kubozono00
condomania;condom;mania;0;Schott11
congestrangle;congest;strangle;0;thinkzone11
contraception;contra;conception;0;Biermeier08
convictim;convict;victim;0;thinkzone11
coolth;cool;warmth;0;Kubozono00
coquetteaser;coquette;teaser;0;thinkzone11
correctify;correct;rectify;0;thinkzone11
corrosivenomous;corrosive;venomous;0;thinkzone11
coverlap;cover;overlap;0;thinkzone11
craftrade;craft;trade;0;thinkzone11
cranapple;cranberry;apple;0;Gries04a
crashipwreck;crash;shipwreck;0;thinkzone11
Cremains;cremated;remains;0;english4students11
cremista;ice_cream;barista;0;Schott11
crisscrossbreed;crisscross;crossbreed;0;thinkzone11
criticular;critical;particular;0;Gries04a
croissandwich;croissant;sandwich;0;BatEl06
crunchug;crunch;hug;0;thinkzone11
cryell;cry;yell;0;thinkzone11
cryptex;cryptology;codex;0;ewPortmanteaus11
culturefinement;culture;refinement;0;thinkzone11
curemedy;cure;remedy;0;thinkzone11
curveer;curve;veer;0;thinkzone11
cyberzine;cyberspace;magazine;0;wisegeek11
cyborg;cybernetic;organism;0;Wikipedia11
cyborg;cybernetic;organism;0;ewPortmanteaus11
dadaddy;dada;daddy;0;thinkzone11
daemonster;daemon;monster;0;thinkzone11
dam;dad;mam;0;Kubozono00
dancercise;dance;exercise;0;ewPortmanteaus11
dancersize;dance;circumcise;0;ewPortmanteaus11
datacasting;data;broadcasting;0;ewPortmanteaus11
dawk;dove;hawk;0;Gries04a
daycation;day;vacation;0;Schott11
!Debian;Debra;Ian_Murdock;0;ewPortmanteaus11
deleb;dead;celebrity;0;Schott11
demonster;demon;monster;0;thinkzone11
Demopublican;Democrat;Republican;0;ewPortmanteaus11
denialogue;denial;dialogue;0;Schott11
denudespoil;denude;despoil;0;thinkzone11
depicture;depict;picture;0;thinkzone11
derrierear;derrière;rear;0;thinkzone11
desirequire;desire;require;0;thinkzone11
diabesity;diabetes;obesity;0;BatEl06
diarealistic;diary;realistic;0;ewPortmanteaus11
digerati;digital;literati;0;ewPortmanteaus11
digestomach;digest;stomach;0;thinkzone11
digipeater;digital;repeater;0;ewPortmanteaus11
Diplonomics;diplomacy;economics;0;english4students11
discipleader;disciple;leader;0;thinkzone11
disciplearner;disciple;learner;0;thinkzone11
disguisemblance;disguise;semblance;0;thinkzone11
docudrama;documentary;drama;0;ewPortmanteaus11
docusoap;documentary;soap_opera;0;ewPortmanteaus11
docusoap;documentary;soap_opera;0;Wikt11
dogler;dog;ogler;0;Schott11
doublengthen;double;lengthen;0;thinkzone11
dramality;drama;reality_television;0;ewPortmanteaus11
dramedy;drama;tragedy;0;Gries04a
dramedy;drama;comedy;0;ewPortmanteaus11
dreambition;dream;ambition;0;thinkzone11
drumble;drum;rumble;0;thinkzone11
dubtitle;dub;subtitle;0;ewPortmanteaus11
duetwosome;duet;twosome;0;thinkzone11
dunch;dinner;lunch;0;Schott11
dyellow;dye;yellow;0;thinkzone11
dynetic;dynamic;magnetic;0;BatEl06
earthoon;earth;moon;0;BatEl06
ebonics;ebony;phonics;0;ewPortmanteaus11
econocrat;economist;bureaucrat;0;BatEl06
ecoteur;ecological;saboteur;0;ewPortmanteaus11
Edexcel;educational;excellence;0;ewPortmanteaus11
edutainment;education;entertainment;0;wisegeek11
edutainment;education;entertainment;0;ewPortmanteaus11
eggheadventurer;egghead;adventurer;0;thinkzone11
electrocute;electronic;execute;0;Biermeier08
Email;electronic;mail;0;english4students11
emoticon;emotion;icon;0;ewPortmanteaus11
emoticon;emotion;icon;0;Katamba05
empiregion;empire;region;0;thinkzone11
enchantmenthrallment;enchantment;enthralment;0;thinkzone11
enjoymentertainment;enjoyment;entertainment;0;thinkzone11
enjoymenthusiasm;enjoyment;enthusiasm;0;thinkzone11
enjoyneering;enjoy;engineering;0;Schott11
erodecay;erode;decay;0;thinkzone11
erupture;erupt;rupture;0;thinkzone11
escalift;escalator;lift;0;BatEl06
escalift;escalator;lift;0;BatEl06
establishmenterprise;establishment;enterprise;0;thinkzone11
evile;evil;vile;0;thinkzone11
evilution;evil;evolution;0;Schott11
examnesia;exam;amnesia;0;Minkova09
explainterpret;explain;interpret;0;thinkzone11
explodestroy;explode;destroy;0;thinkzone11
explornography;explore;pornography;0;Minkova09
extravagapper;extravagant;gapper;0;Schott11
fablegend;fable;legend;0;thinkzone11
fabricloth;fabric;cloth;0;thinkzone11
factigue;fact;fatigue;0;Minkova09
Faction;fact;fiction;0;english4students11
faction;fact;fiction;0;ewPortmanteaus11
